iter	Passed	Remaining
0	8	8087
1	13	6715
2	17	5816
3	20	5155
4	22	4531
5	25	4237
6	28	4074
7	30	3780
8	32	3588
9	34	3430
10	36	3270
11	37	3127
12	39	3004
13	40	2886
14	43	2878
15	45	2797
16	47	2726
17	48	2657
18	50	2600
19	52	2548
20	53	2486
21	54	2431
22	56	2390
23	58	2367
24	60	2354
25	61	2322
26	63	2281
27	64	2242
28	66	2215
29	67	2190
30	68	2146
31	70	2128
32	71	2106
33	72	2073
34	75	2093
35	77	2077
36	79	2061
37	80	2046
38	82	2031
39	83	2015
40	85	2001
41	87	1987
42	88	1977
43	91	1984
44	93	1980
45	95	1973
46	96	1965
47	98	1957
48	100	1947
49	101	1936
50	103	1926
51	105	1923
52	108	1934
53	109	1921
54	111	1911
55	112	1901
56	114	1887
57	115	1878
58	117	1872
59	118	1864
60	120	1856
61	123	1866
62	126	1880
63	128	1874
64	129	1858
65	130	1851
66	131	1837
67	133	1829
68	134	1818
69	136	1807
70	138	1811
71	140	1813
72	142	1807
73	143	1800
74	144	1787
75	146	1781
76	148	1776
77	149	1771
78	151	1766
79	153	1769
80	156	1774
81	158	1769
82	159	1761
83	160	1750
84	162	1745
85	163	1738
86	165	1732
87	166	1728
88	168	1726
89	171	1729
90	172	1725
91	174	1722
92	176	1716
93	177	1712
94	179	1709
95	181	1706
96	183	1704
97	184	1699
98	187	1703
99	189	1704
100	191	1701
101	192	1694
102	194	1691
103	196	1689
104	197	1684
105	199	1682
106	201	1679
107	203	1677
108	204	1670
109	206	1667
110	207	1665
111	209	1658
112	210	1652
113	212	1650
114	214	1649
115	215	1644
116	218	1649
117	220	1647
118	222	1645
119	224	1643
120	225	1640
121	227	1634
122	228	1632
123	230	1626
124	231	1620
125	234	1626
126	236	1625
127	238	1622
128	240	1620
129	241	1615
130	243	1613
131	244	1610
132	246	1608
133	248	1607
134	251	1608
135	252	1606
136	254	1604
137	255	1597
138	257	1593
139	258	1590
140	260	1589
141	262	1585
142	264	1584
143	266	1584
144	267	1578
145	269	1575
146	271	1573
147	272	1570
148	273	1564
149	275	1562
150	277	1557
151	278	1552
152	280	1553
153	282	1553
154	284	1551
155	285	1545
156	286	1540
157	288	1538
158	290	1537
159	292	1536
160	294	1534
161	297	1537
162	299	1538
163	301	1538
164	303	1535
165	305	1534
166	307	1533
167	309	1531
168	310	1526
169	313	1529
170	315	1529
171	317	1526
172	318	1524
173	320	1522
174	322	1520
175	323	1515
176	325	1513
177	327	1512
178	330	1514
179	331	1510
180	332	1506
181	334	1504
182	336	1500
183	337	1498
184	339	1496
185	340	1491
186	342	1489
187	344	1489
188	346	1485
189	347	1481
190	349	1478
191	350	1476
192	352	1473
193	354	1471
194	356	1470
195	357	1468
196	360	1468
197	362	1469
198	365	1469
199	367	1468
200	369	1467
201	371	1465
202	372	1464
203	374	1462
204	377	1465
205	380	1466
206	383	1467
207	385	1468
208	388	1468
209	390	1469
210	394	1473
211	396	1473
212	398	1472
213	400	1470
214	402	1468
215	404	1467
216	405	1464
217	408	1463
218	410	1462
219	411	1460
220	413	1459
221	415	1456
222	417	1454
223	418	1450
224	420	1448
225	422	1447
226	425	1448
227	427	1447
228	429	1445
229	431	1443
230	433	1442
231	435	1440
232	436	1438
233	439	1437
234	441	1438
235	444	1437
236	445	1435
237	447	1432
238	449	1431
239	451	1430
240	453	1429
241	456	1429
242	457	1426
243	459	1422
244	461	1421
245	462	1418
246	464	1416
247	465	1412
248	467	1410
249	469	1408
250	472	1408
251	474	1407
252	476	1405
253	477	1403
254	480	1402
255	482	1400
256	483	1399
257	485	1397
258	488	1398
259	490	1396
260	492	1394
261	494	1393
262	496	1391
263	498	1390
264	500	1388
265	503	1388
266	506	1389
267	508	1389
268	510	1387
269	512	1386
270	514	1385
271	516	1383
272	519	1383
273	521	1382
274	523	1381
275	526	1379
276	528	1378
277	529	1376
278	531	1374
279	533	1372
280	536	1373
281	538	1370
282	540	1368
283	541	1365
284	543	1363
285	545	1361
286	547	1359
287	548	1355
288	550	1354
289	553	1354
290	555	1352
291	557	1351
292	559	1349
293	561	1347
294	563	1346
295	565	1344
296	567	1344
297	570	1342
298	572	1341
299	574	1339
300	576	1338
301	578	1337
302	580	1335
303	581	1331
304	584	1331
305	586	1329
306	588	1327
307	590	1325
308	591	1323
309	593	1321
310	595	1319
311	597	1318
312	600	1318
313	603	1317
314	605	1315
315	606	1313
316	608	1311
317	610	1309
318	613	1308
319	615	1308
320	618	1307
321	620	1306
322	622	1304
323	623	1301
324	625	1299
325	627	1297
326	630	1296
327	632	1295
328	634	1293
329	636	1291
330	637	1289
331	639	1287
332	642	1286
333	643	1284
334	646	1282
335	647	1280
336	649	1278
337	652	1277
338	653	1274
339	655	1272
340	657	1271
341	658	1267
342	660	1266
343	663	1264
344	665	1262
345	667	1260
346	668	1258
347	671	1257
348	672	1255
349	674	1252
350	676	1250
351	678	1249
352	680	1247
353	682	1245
354	684	1243
355	686	1241
356	688	1239
357	690	1237
358	691	1235
359	694	1234
360	696	1232
361	698	1230
362	700	1229
363	701	1226
364	704	1225
365	706	1224
366	709	1224
367	712	1224
368	715	1223
369	717	1221
370	719	1220
371	722	1218
372	724	1217
373	726	1216
374	728	1214
375	730	1212
376	732	1211
377	734	1209
378	737	1207
379	739	1205
380	741	1204
381	743	1203
382	745	1201
383	747	1199
384	749	1197
385	751	1195
386	753	1193
387	755	1191
388	758	1190
389	760	1189
390	761	1185
391	763	1183
392	765	1181
393	767	1179
394	769	1177
395	770	1175
396	773	1174
397	776	1174
398	778	1173
399	780	1171
400	782	1168
401	784	1167
402	786	1165
403	789	1164
404	791	1163
405	793	1161
406	795	1158
407	797	1156
408	799	1154
409	800	1152
410	802	1150
411	805	1149
412	808	1148
413	809	1146
414	811	1143
415	813	1141
416	814	1139
417	816	1137
418	818	1135
419	820	1133
420	823	1132
421	825	1130
422	827	1128
423	829	1126
424	830	1124
425	832	1122
426	834	1119
427	836	1118
428	838	1116
429	840	1114
430	842	1112
431	844	1110
432	846	1108
433	848	1106
434	850	1104
435	852	1102
436	854	1101
437	856	1099
438	858	1097
439	860	1094
440	862	1092
441	863	1090
442	865	1088
443	866	1085
444	868	1082
445	870	1081
446	872	1080
447	875	1078
448	877	1076
449	879	1074
450	881	1072
451	883	1071
452	886	1070
453	888	1068
454	890	1066
455	892	1064
456	894	1062
457	896	1060
458	898	1058
459	900	1057
460	902	1055
461	904	1053
462	906	1051
463	909	1050
464	911	1048
465	913	1046
466	915	1044
467	918	1043
468	920	1042
469	922	1040
470	924	1038
471	926	1036
472	928	1034
473	930	1032
474	932	1031
475	935	1029
476	937	1027
477	939	1025
478	940	1022
479	941	1019
480	943	1017
481	945	1015
482	946	1013
483	950	1013
484	952	1011
485	954	1009
486	955	1006
487	957	1004
488	959	1002
489	961	1000
490	963	998
491	966	997
492	968	995
493	970	993
494	971	991
495	973	989
496	975	987
497	977	985
498	979	983
499	981	981
500	983	979
501	985	977
502	987	975
503	988	973
504	990	970
505	992	968
506	994	966
507	996	965
508	998	963
509	1000	961
510	1002	959
511	1004	957
512	1006	955
513	1007	952
514	1009	951
515	1012	949
516	1015	948
517	1017	946
518	1019	944
519	1021	942
520	1023	940
521	1025	938
522	1026	936
523	1029	935
524	1031	932
525	1033	930
526	1035	929
527	1036	926
528	1038	924
529	1040	922
530	1042	920
531	1045	919
532	1047	917
533	1049	915
534	1051	913
535	1053	911
536	1055	909
537	1057	908
538	1059	906
539	1061	904
540	1063	902
